Model: yoshitomo-matsubara/bert-large-uncased-cola  Arch: bert  Layers: 24
Magnitude bins: 13 bins from 1e-08 to 1e+05

Probe: input_ids (Input IDs)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All      1,094,528    91.151     8.849     8.849  |   0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.57    6.66    0.62

Probe: after_embed (After Embedding)  [global]
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  All  1,120,796,672     0.000     3.756     0.000  |   0.00    0.00    0.00    0.02    0.15    1.70   16.61   77.76    3.76    0.00    0.00    0.00    0.00

Probe: query_proj (XW_q + b_q)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L13     1,120,796,672     0.000     3.471     0.000  |   0.00    0.00    0.00    0.02    0.18    1.82   17.38   77.13    3.47    0.00    0.00    0.00    0.00
  L14     1,120,796,672     0.000     7.719     0.000  |   0.00    0.00    0.00    0.01    0.15    1.48   14.05   76.58    7.72    0.00    0.00    0.00    0.00
  L15     1,120,796,672     0.000     8.753     0.000  |   0.00    0.00    0.00    0.01    0.14    1.40   13.46   76.23    8.75    0.00    0.00    0.00    0.00
  L16     1,120,796,672     0.000     9.496     0.000  |   0.00    0.00    0.00    0.01    0.14    1.38   13.39   75.58    9.50    0.00    0.00    0.00    0.00
  L17     1,120,796,672     0.000     8.267     0.000  |   0.00    0.00    0.00    0.01    0.14    1.41   13.87   76.30    8.27    0.00    0.00    0.00    0.00
  L18     1,120,796,672     0.000    11.910     0.000  |   0.00    0.00    0.00    0.02    0.16    1.55   14.44   71.93   11.91    0.00    0.00    0.00    0.00
  L19     1,120,796,672     0.000    13.119     0.000  |   0.00    0.00    0.00    0.02    0.17    1.66   14.38   70.66   13.12    0.00    0.00    0.00    0.00
  L20     1,120,796,672     0.000    17.771     0.000  |   0.00    0.00    0.00    0.02    0.17    1.69   13.57   66.78   17.77    0.00    0.00    0.00    0.00
  L21     1,120,796,672     0.000    20.760     0.000  |   0.00    0.00    0.00    0.01    0.14    1.44   12.61   65.04   20.76    0.00    0.00    0.00    0.00
  L22     1,120,796,672     0.000    20.866     0.000  |   0.00    0.00    0.00    0.01    0.12    1.17   11.28   66.55   20.87    0.00    0.00    0.00    0.00
  L23     1,120,796,672     0.000    24.256     0.000  |   0.00    0.00    0.00    0.01    0.11    1.11   10.56   63.94   24.26    0.00    0.00    0.00    0.00
  AGG   26,899,120,128     0.000     7.166     0.000  |   0.00    0.00    0.00    0.02    0.25    2.46   22.64   67.47    7.17    0.00    0.00    0.00    0.00

Probe: qkt_raw (QKᵀ (raw))
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      2,241,593,344     0.000    93.110    39.848  |   0.00    0.00    0.00    0.00    0.01    0.06    0.60    6.22   53.26   39.82    0.02    0.00    0.00
  L1      2,241,593,344     0.000    99.432    91.738  |   0.00    0.00    0.00    0.00    0.00    0.01    0.05    0.51    7.69   91.72    0.01    0.00    0.00
  L2      2,241,593,344     0.000    90.940    27.478  |   0.00    0.00    0.00    0.00    0.01    0.08    0.81    8.16   63.46   27.47    0.00    0.00    0.00
  L3      2,241,593,344     0.000    98.158    66.559  |   0.00    0.00    0.00    0.00    0.00    0.02    0.16    1.66   31.60   66.34    0.22    0.00    0.00
  L4      2,241,593,344     0.000    96.901    63.331  |   0.00    0.00    0.00    0.00    0.00    0.03    0.28    2.79   33.57   63.17    0.16    0.00    0.00
  L5      2,241,593,344     0.000    99.184    92.887  |   0.00    0.00    0.00    0.00    0.00    0.01    0.07    0.73    6.30   92.89    0.00    0.00    0.00
  L6      2,241,593,344     0.000    99.632    86.261  |   0.00    0.00    0.00    0.00    0.00    0.00    0.03    0.33   13.37   86.26    0.00    0.00    0.00
  L7      2,241,593,344     0.000    99.569    33.337  |   0.00    0.00    0.00    0.00    0.00    0.00    0.04    0.39   66.23   33.34    0.00    0.00    0.00
  L8      2,241,593,344     0.000    99.174    71.851  |   0.00    0.00    0.00    0.00    0.00    0.01    0.07    0.74   27.32   71.85    0.00    0.00    0.00
  L9      2,241,593,344     0.000    98.583    84.881  |   0.00    0.00    0.00    0.00    0.00    0.01    0.13    1.28   13.70   84.76    0.12    0.00    0.00
  L10     2,241,593,344     0.000    98.450    84.742  |   0.00    0.00    0.00    0.00    0.00    0.01    0.14    1.40   13.71   84.64    0.10    0.00    0.00
  L11     2,241,593,344     0.000    98.389    78.060  |   0.00    0.00    0.00    0.00    0.00    0.01    0.14    1.45   20.33   78.06    0.00    0.00    0.00
  L12     2,241,593,344     0.000    95.778    56.529  |   0.00    0.00    0.00    0.00    0.00    0.04    0.38    3.80   39.25   56.53    0.00    0.00    0.00
  L13     2,241,593,344     0.000    96.813    65.681  |   0.00    0.00    0.00    0.00    0.00    0.03    0.29    2.87   31.13   65.68    0.00    0.00    0.00
  L14     2,241,593,344     0.000    96.602    63.282  |   0.00    0.00    0.00    0.00    0.00    0.03    0.31    3.06   33.32   63.28    0.00    0.00    0.00
  L15     2,241,593,344     0.000    93.674    43.400  |   0.00    0.00    0.00    0.00    0.01    0.06    0.57    5.69   50.27   43.40    0.00    0.00    0.00
  L16     2,241,593,344     0.000    98.868    86.121  |   0.00    0.00    0.00    0.00    0.00    0.01    0.10    1.02   12.75   86.12    0.00    0.00    0.00
  L17     2,241,593,344     0.000    98.993    88.287  |   0.00    0.00    0.00    0.00    0.00    0.01    0.09    0.91   10.71   88.25    0.04    0.00    0.00
  L18     2,241,593,344     0.000    95.166    55.386  |   0.00    0.00    0.00    0.00    0.00    0.04    0.44    4.35   39.78   55.39    0.00    0.00    0.00
  L19     2,241,593,344     0.000    93.811    44.046  |   0.00    0.00    0.00    0.00    0.01    0.06    0.56    5.57   49.77   44.05    0.00    0.00    0.00
  L20     2,241,593,344     0.000    95.831    59.920  |   0.00    0.00    0.00    0.00    0.00    0.04    0.38    3.75   35.91   59.87    0.05    0.00    0.00
  L21     2,241,593,344     0.000    96.049    60.927  |   0.00    0.00    0.00    0.00    0.00    0.04    0.35    3.56   35.12   57.92    3.01    0.00    0.00
  L22     2,241,593,344     0.000    97.291    73.716  |   0.00    0.00    0.00    0.00    0.00    0.02    0.24    2.44   23.58   73.71    0.01    0.00    0.00
  L23     2,241,593,344     0.000    96.982    80.818  |   0.00    0.00    0.00    0.00    0.00    0.03    0.30    2.68   16.16   80.73    0.09    0.00    0.00
  AGG   53,798,240,256     0.000    96.974    66.628  |   0.00    0.00    0.00    0.00    0.00    0.03    0.27    2.72   30.35   66.47    0.16    0.00    0.00

Probe: attn_scores (QKᵀ/√dₖ + mask)
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      2,241,593,344     0.000    94.620    91.152  |   0.00    0.00    0.00    0.00    0.01    0.06    0.57    4.75    3.47    0.00    0.00    0.00   91.15
  L1      2,241,593,344     0.000    97.097    91.151  |   0.00    0.00    0.00    0.00    0.00    0.03    0.27    2.61    5.95    0.00    0.00    0.00   91.15
  L2      2,241,593,344     0.000    95.803    91.155  |   0.00    0.00    0.00    0.00    0.00    0.04    0.40    3.75    4.65    0.00    0.00    0.00   91.15
  L3      2,241,593,344     0.000    96.030    91.177  |   0.00    0.00    0.00    0.00    0.00    0.04    0.44    3.48    4.85    0.03    0.00    0.00   91.15
  L4      2,241,593,344     0.000    95.866    91.151  |   0.00    0.00    0.00    0.00    0.00    0.04    0.44    3.65    4.71    0.00    0.00    0.00   91.15
  L5      2,241,593,344     0.000    95.434    91.151  |   0.00    0.00    0.00    0.00    0.01    0.05    0.51    4.00    4.28    0.00    0.00    0.00   91.15
  L6      2,241,593,344     0.000    96.869    91.151  |   0.00    0.00    0.00    0.00    0.00    0.02    0.22    2.89    5.72    0.00    0.00    0.00   91.15
  L7      2,241,593,344     0.000    97.678    91.151  |   0.00    0.00    0.00    0.00    0.00    0.02    0.20    2.10    6.53    0.00    0.00    0.00   91.15
  L8      2,241,593,344     0.000    95.989    91.151  |   0.00    0.00    0.00    0.00    0.00    0.04    0.38    3.59    4.84    0.00    0.00    0.00   91.15
  L9      2,241,593,344     0.000    95.526    91.212  |   0.00    0.00    0.00    0.00    0.00    0.05    0.47    3.96    4.31    0.06    0.00    0.00   91.15
  L10     2,241,593,344     0.000    97.637    91.197  |   0.00    0.00    0.00    0.00    0.00    0.02    0.20    2.14    6.44    0.05    0.00    0.00   91.15
  L11     2,241,593,344     0.000    96.690    91.165  |   0.00    0.00    0.00    0.00    0.00    0.03    0.31    2.96    5.53    0.01    0.00    0.00   91.15
  L12     2,241,593,344     0.000    96.227    91.157  |   0.00    0.00    0.00    0.00    0.00    0.04    0.36    3.37    5.07    0.01    0.00    0.00   91.15
  L13     2,241,593,344     0.000    96.833    91.153  |   0.00    0.00    0.00    0.00    0.00    0.03    0.30    2.84    5.68    0.00    0.00    0.00   91.15
  L14     2,241,593,344     0.000    96.408    91.151  |   0.00    0.00    0.00    0.00    0.00    0.03    0.35    3.21    5.26    0.00    0.00    0.00   91.15
  L15     2,241,593,344     0.000    95.708    91.151  |   0.00    0.00    0.00    0.00    0.00    0.04    0.43    3.82    4.56    0.00    0.00    0.00   91.15
  L16     2,241,593,344     0.000    98.388    91.183  |   0.00    0.00    0.00    0.00    0.00    0.01    0.14    1.46    7.20    0.03    0.00    0.00   91.15
  L17     2,241,593,344     0.000    98.889    91.205  |   0.00    0.00    0.00    0.00    0.00    0.01    0.09    1.01    7.68    0.05    0.00    0.00   91.15
  L18     2,241,593,344     0.000    96.951    91.152  |   0.00    0.00    0.00    0.00    0.00    0.03    0.29    2.72    5.80    0.00    0.00    0.00   91.15
  L19     2,241,593,344     0.000    96.637    91.151  |   0.00    0.00    0.00    0.00    0.00    0.03    0.31    3.02    5.49    0.00    0.00    0.00   91.15
  L20     2,241,593,344     0.000    97.325    91.189  |   0.00    0.00    0.00    0.00    0.00    0.02    0.24    2.41    6.14    0.04    0.00    0.00   91.15
  L21     2,241,593,344     0.000    96.622    91.431  |   0.00    0.00    0.00    0.00    0.00    0.03    0.25    3.10    5.19    0.28    0.00    0.00   91.15
  L22     2,241,593,344     0.000    97.049    91.234  |   0.00    0.00    0.00    0.00    0.00    0.02    0.22    2.70    5.81    0.08    0.00    0.00   91.15
  L23     2,241,593,344     0.000    97.430    91.232  |   0.00    0.00    0.00    0.00    0.01    0.05    0.47    2.05    6.20    0.08    0.00    0.00   91.15
  AGG   53,798,240,256     0.000    96.654    91.181  |   0.00    0.00    0.00    0.00    0.00    0.03    0.33    2.98    5.47    0.03    0.00    0.00   91.15

Probe: attn_probs (Softmax(scores))
  Layer            Count  pct_zero     pct>1    pct>10  | magnitude bin percentages ...
  ------------------------------------------------------------
  L0      2,241,593,344    91.151     0.000     0.000  |   0.02    0.06    0.11    0.14    0.15    1.11    5.50    1.77    0.00    0.00    0.00    0.00    0.00
  L1      2,241,593,344    91.151     0.000     0.000  |   0.00    0.01    0.04    0.18    0.80    3.32    3.06    1.45    0.00    0.00    0.00    0.00    0.00
  L2      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.06    0.20    1.82    4.59    2.16    0.00    0.00    0.00    0.00    0.00
  L3      2,241,593,344    91.151     0.000     0.000  |   0.06    0.05    0.06    0.09    0.24    2.09    4.10    2.16    0.00    0.00    0.00    0.00    0.00
  L4      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.08    0.38    2.67    3.53    2.17    0.00    0.00    0.00    0.00    0.00
  L5      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.00    0.00    0.05    2.11    4.11    2.58    0.00    0.00    0.00    0.00    0.00
  L6      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.00    0.01    0.06    2.18    4.42    2.18    0.00    0.00    0.00    0.00    0.00
  L7      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.00    0.00    0.04    1.36    5.38    2.06    0.00    0.00    0.00    0.00    0.00
  L8      2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.00    0.01    0.04    1.24    5.78    1.77    0.00    0.00    0.00    0.00    0.00
  L9      2,241,593,344    91.151     0.000     0.000  |   0.13    0.06    0.07    0.08    0.14    1.39    5.16    1.84    0.00    0.00    0.00    0.00    0.00
  L10     2,241,593,344    91.151     0.000     0.000  |   0.08    0.05    0.08    0.15    0.40    1.98    4.44    1.67    0.00    0.00    0.00    0.00    0.00
  L11     2,241,593,344    91.151     0.000     0.000  |   0.00    0.01    0.03    0.14    0.66    2.67    4.00    1.34    0.00    0.00    0.00    0.00    0.00
  L12     2,241,593,344    91.151     0.000     0.000  |   0.01    0.03    0.06    0.15    0.71    2.63    3.87    1.38    0.00    0.00    0.00    0.00    0.00
  L13     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.02    0.18    0.88    2.56    3.68    1.53    0.00    0.00    0.00    0.00    0.00
  L14     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.01    0.11    0.75    2.99    3.68    1.32    0.00    0.00    0.00    0.00    0.00
  L15     2,241,593,344    91.151     0.000     0.000  |   0.00    0.00    0.05    0.24    0.80    2.98    3.54    1.24    0.00    0.00    0.00    0.00    0.00
