episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
389,37.79690471,37.44032769,38.08230215,37.79646791,37.38958130,38.18039513,,,
390,37.79363674,37.44032769,38.08230215,37.79532411,37.38958130,38.18039513,,,
391,37.79372185,37.44032769,38.08230215,37.79507588,37.38958130,38.18039513,,,
392,37.79300808,37.44032769,38.08230215,37.79509652,37.38958130,38.18039513,,,
393,37.79308301,37.44032769,38.08230215,37.79512861,37.38958130,38.18039513,,,
394,37.79465001,37.44032769,38.08230215,37.79576493,37.38958130,38.18039513,,,
395,37.79056504,37.44032769,38.08230215,37.79591293,37.38958130,38.18039513,,,
396,37.78396210,37.44032769,38.08230215,37.79542274,37.38958130,38.18039513,,,
397,37.78801003,37.44032769,38.08230215,37.79592263,37.38958130,38.18039513,,,
398,37.79212107,37.44032769,38.08230215,37.79692012,37.38958130,38.18039513,,,
399,37.79532205,37.44032769,38.08230215,37.79708538,37.38958130,38.18039513,,,
400,37.79450506,37.44032769,38.08230215,37.79790238,37.38958130,38.18039513,,,
401,37.79401437,37.44032769,38.08230215,37.79757744,37.38958130,38.18039513,,,
402,37.79319737,37.44032769,38.08230215,37.79725065,37.38958130,38.18039513,,,
403,37.78981198,37.44032769,38.07636812,37.79765265,37.38958130,38.18039513,,,
404,37.78493785,37.44032769,38.07636812,37.79724112,37.38958130,38.18039513,,,
405,37.78973406,37.48758037,38.07636812,37.79707772,37.38958130,38.18039513,,,
406,37.78897309,37.48758037,38.07636812,37.79627412,37.38958130,38.18039513,,,
407,37.78645610,37.48758037,38.07636812,37.79503253,37.38958130,38.18039513,,,
408,37.78080414,37.48758037,38.07636812,37.79568612,37.38958130,38.18039513,,,
409,37.77753617,37.48758037,38.07636812,37.79568612,37.38958130,38.18039513,,,
410,37.78317882,37.48758037,38.07636812,37.79666651,37.38958130,38.18039513,,,
411,37.78317882,37.48758037,38.07636812,37.79682991,37.38958130,38.18039513,,,
412,37.78399581,37.48758037,38.07636812,37.79730671,37.38958130,38.18039513,,,
413,37.78637980,37.48758037,38.07636812,37.79681651,37.38958130,38.18039513,,,
414,37.78392882,37.48758037,38.07636812,37.79632632,37.38958130,38.18039513,,,
415,37.78141840,37.48758037,38.07636812,37.79665311,37.38958130,38.18039513,,,
416,37.77413245,37.38898250,38.07636812,37.79535932,37.38898250,38.18039513,,,
417,37.77340097,37.38898250,38.07636812,37.79445757,37.38898250,38.18039513,,,
418,37.77267035,37.38898250,38.07636812,37.79413094,37.38898250,38.18039513,,,
419,37.77587133,37.38898250,38.07636812,37.79478454,37.38898250,38.18039513,,,
420,37.78559828,37.38898250,38.07636812,37.79494794,37.38898250,38.18039513,,,
421,37.77815896,37.38898250,38.07636812,37.79331395,37.38898250,38.18039513,,,
422,37.77416949,37.38898250,38.07636812,37.79323305,37.38898250,38.18039513,,,
423,37.77744540,37.38898250,38.07636812,37.79323464,37.38898250,38.18039513,,,
424,37.77900143,37.38898250,38.07636812,37.79356143,37.38898250,38.18039513,,,
425,37.77053544,37.38898250,38.07636812,37.79317543,37.38898250,38.18039513,,,
426,37.76969993,37.38898250,38.07636812,37.79300832,37.38898250,38.18039513,,,
427,37.77533251,37.38898250,38.07636812,37.79333512,37.38898250,38.18039513,,,
428,37.77931345,37.38898250,38.07636812,37.79282412,37.38898250,38.18039513,,,
429,37.78666639,37.38898250,38.07636812,37.79445811,37.38898250,38.18039513,,,
430,37.78094744,37.38898250,38.07636812,37.79331432,37.38898250,38.18039513,,,
431,37.78429337,37.38898250,38.07636812,37.79349331,37.38898250,38.18039513,,,
432,37.78422638,37.38898250,38.07636812,37.79414909,37.38898250,38.18039513,,,
433,37.78742736,37.38898250,38.07636812,37.79453929,37.38898250,38.18039513,,,
434,37.78577485,37.38898250,38.07636812,37.79419522,37.38898250,38.18039513,,,
435,37.78418934,37.38898250,38.07636812,37.79355132,37.38898250,38.18039513,,,
436,37.78745731,37.38898250,38.07636812,37.79338792,37.38898250,38.18039513,,,
437,37.78420786,37.38898250,38.07636812,37.79338792,37.38898250,38.18039513,,,
438,37.78176619,37.38898250,38.07636812,37.79307638,37.38898250,38.18039513,,,
439,37.77849821,37.38898250,38.07636812,37.79225939,37.38898250,38.18039513,,,
440,37.77774821,37.38898250,38.07636812,37.79243619,37.38898250,38.18039513,,,
441,37.77856521,37.38898250,38.07636812,37.79292638,37.38898250,38.18039513,,,
442,37.77209625,37.38898250,38.07636812,37.79212279,37.38898250,38.18039513,,,
443,37.76802225,37.38898250,38.07636812,37.79147139,37.38898250,38.18039513,,,
444,37.77210722,37.38898250,38.07636812,37.79098119,37.38898250,38.18039513,,,
445,37.77375217,37.38898250,38.07636812,37.79099678,37.38898250,38.18039513,,,
446,37.77530064,37.38898250,38.07636812,37.79132358,37.38898250,38.18039513,,,
447,37.77279121,37.38898250,38.07636812,37.79066998,37.38898250,38.18039513,,,
448,37.77026326,37.38898250,38.07636812,37.79066998,37.38898250,38.18039513,,,
449,37.77508726,37.38898250,38.07636812,37.79165038,37.38898250,38.18039513,,,
450,37.77835523,37.38898250,38.07636812,37.79214057,37.38898250,38.18039513,,,
451,37.77745313,37.38898250,38.07636812,37.79197717,37.38898250,38.18039513,,,
452,37.77981086,37.38898250,38.07636812,37.79328636,37.38898250,38.18039513,,,
453,37.78046741,37.38898250,38.07636812,37.79302296,37.38898250,38.18039513,,,
454,37.78129537,37.38898250,38.07636812,37.79302515,37.38898250,38.18039513,,,
455,37.78294787,37.38898250,38.07636812,37.79302886,37.38898250,38.18039513,,,
456,37.78866683,37.38898250,38.07636812,37.79433605,37.38898250,38.18039513,,,
457,37.78543589,37.38898250,38.07636812,37.79451655,37.38898250,38.18039513,,,
458,37.77881443,37.38898250,38.07123740,37.79418975,37.38898250,38.18039513,,,
459,37.77878660,37.38898250,38.07123740,37.79385925,37.38898250,38.18039513,,,
460,37.77722959,37.38898250,38.07123740,37.79338445,37.38898250,38.18039513,,,
461,37.77395230,37.38898250,38.07123740,37.79322105,37.38898250,38.18039513,,,
462,37.77723026,37.38898250,38.07123740,37.79305965,37.38898250,38.18039513,,,
463,37.77396228,37.38898250,38.07123740,37.79165810,37.38898250,38.18039513,,,
464,37.77797094,37.38898250,38.07123740,37.79116791,37.38898250,38.18039513,,,
465,37.77798946,37.38898250,38.07123740,37.79084481,37.38898250,38.18039513,,,
466,37.78200744,37.38898250,38.07123740,37.79033760,37.38898250,38.18039513,,,
