timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 04:18:42.749, 1, 98, 3732
2026/05/20 04:18:57.835, 0, 98, 3450
2026/05/20 04:18:57.838, 1, 0, 3732
2026/05/20 04:19:12.922, 0, 97, 3450
2026/05/20 04:19:12.927, 1, 97, 3732
2026/05/20 04:19:27.994, 0, 98, 3450
2026/05/20 04:19:27.997, 1, 0, 3732
2026/05/20 04:19:43.098, 0, 98, 3450
2026/05/20 04:19:43.104, 1, 98, 3732
2026/05/20 04:19:58.172, 0, 98, 3450
2026/05/20 04:19:58.176, 1, 98, 3732
2026/05/20 04:20:13.239, 0, 97, 3450
2026/05/20 04:20:13.244, 1, 98, 3732
2026/05/20 04:20:28.311, 0, 98, 3450
2026/05/20 04:20:28.317, 1, 0, 3732
2026/05/20 04:20:43.387, 0, 98, 3450
2026/05/20 04:20:43.395, 1, 98, 3732
2026/05/20 04:20:58.484, 0, 98, 3450
2026/05/20 04:20:58.487, 1, 98, 3732
2026/05/20 04:21:13.593, 0, 98, 3450
2026/05/20 04:21:13.596, 1, 0, 3732
2026/05/20 04:21:28.689, 0, 98, 3450
2026/05/20 04:21:28.696, 1, 98, 3732
2026/05/20 04:21:43.768, 0, 3, 3450
2026/05/20 04:21:43.773, 1, 98, 3732
2026/05/20 04:21:58.844, 0, 98, 3450
2026/05/20 04:21:58.848, 1, 98, 3732
2026/05/20 04:22:13.917, 0, 98, 3450
2026/05/20 04:22:13.921, 1, 0, 3732
2026/05/20 04:22:28.990, 0, 98, 3450
2026/05/20 04:22:28.996, 1, 0, 3732
2026/05/20 04:22:44.067, 0, 67, 3450
2026/05/20 04:22:44.073, 1, 98, 3732
2026/05/20 04:22:59.157, 0, 97, 3450
2026/05/20 04:22:59.163, 1, 98, 3732
2026/05/20 04:23:14.230, 0, 3, 3450
2026/05/20 04:23:14.236, 1, 98, 3732
2026/05/20 04:23:29.322, 0, 98, 3450
2026/05/20 04:23:29.328, 1, 96, 3732
2026/05/20 04:23:44.412, 0, 3, 3450
2026/05/20 04:23:44.418, 1, 64, 3732
2026/05/20 04:23:59.501, 0, 98, 3450
2026/05/20 04:23:59.506, 1, 0, 3732
2026/05/20 04:24:14.575, 0, 98, 3450
2026/05/20 04:24:14.580, 1, 98, 3732
2026/05/20 04:24:29.662, 0, 97, 3450
2026/05/20 04:24:29.667, 1, 98, 3732
2026/05/20 04:24:44.760, 0, 98, 3450
2026/05/20 04:24:44.766, 1, 99, 3732
2026/05/20 04:24:59.836, 0, 98, 3450
2026/05/20 04:24:59.841, 1, 0, 3732
2026/05/20 04:25:14.909, 0, 98, 3450
2026/05/20 04:25:14.915, 1, 0, 3732
2026/05/20 04:25:29.985, 0, 5, 3450
2026/05/20 04:25:29.990, 1, 98, 3732
2026/05/20 04:25:45.078, 0, 98, 3450
2026/05/20 04:25:45.083, 1, 98, 3732
2026/05/20 04:26:00.147, 0, 98, 3450
2026/05/20 04:26:00.150, 1, 0, 3732
2026/05/20 04:26:15.231, 0, 98, 3450
2026/05/20 04:26:15.237, 1, 0, 3732
2026/05/20 04:26:30.304, 0, 18, 3450
2026/05/20 04:26:30.310, 1, 98, 3732
2026/05/20 04:26:45.392, 0, 94, 3450
2026/05/20 04:26:45.395, 1, 67, 3732
2026/05/20 04:27:00.497, 0, 98, 3450
2026/05/20 04:27:00.503, 1, 98, 3732
2026/05/20 04:27:15.588, 0, 98, 3450
2026/05/20 04:27:15.595, 1, 98, 3732
2026/05/20 04:27:30.665, 0, 3, 3450
2026/05/20 04:27:30.669, 1, 0, 3732
2026/05/20 04:27:45.778, 0, 97, 3450
2026/05/20 04:27:45.782, 1, 27, 3732
2026/05/20 04:28:00.847, 0, 97, 3450
2026/05/20 04:28:00.850, 1, 0, 3732
2026/05/20 04:28:15.934, 0, 98, 3450
2026/05/20 04:28:15.941, 1, 98, 3732
2026/05/20 04:28:31.012, 0, 98, 3450
2026/05/20 04:28:31.018, 1, 98, 3732
2026/05/20 04:28:46.113, 0, 98, 3450
2026/05/20 04:28:46.118, 1, 24, 3732
2026/05/20 04:29:01.209, 0, 19, 3450
2026/05/20 04:29:01.214, 1, 98, 3732
2026/05/20 04:29:16.316, 0, 98, 3450
2026/05/20 04:29:16.322, 1, 98, 3732
2026/05/20 04:29:31.392, 0, 98, 3450
2026/05/20 04:29:31.397, 1, 0, 3732
2026/05/20 04:29:46.487, 0, 98, 3450
2026/05/20 04:29:46.493, 1, 78, 3732
2026/05/20 04:30:01.560, 0, 98, 3450
2026/05/20 04:30:01.564, 1, 98, 3732
2026/05/20 04:30:16.629, 0, 3, 3450
2026/05/20 04:30:16.634, 1, 0, 3732
2026/05/20 04:30:31.739, 0, 98, 3450
2026/05/20 04:30:31.742, 1, 0, 3732
2026/05/20 04:30:46.806, 0, 89, 4026
2026/05/20 04:30:46.811, 1, 0, 3732
2026/05/20 04:31:01.899, 0, 98, 4314
2026/05/20 04:31:01.905, 1, 0, 3732
2026/05/20 04:31:16.971, 0, 89, 4314
2026/05/20 04:31:16.977, 1, 0, 3732
2026/05/20 04:31:32.063, 0, 89, 4890
2026/05/20 04:31:32.070, 1, 0, 3732
2026/05/20 04:31:47.135, 0, 98, 5466
2026/05/20 04:31:47.138, 1, 0, 3732
2026/05/20 04:32:02.208, 0, 27, 6042
2026/05/20 04:32:02.211, 1, 0, 3732
2026/05/20 04:32:17.275, 0, 98, 6714
2026/05/20 04:32:17.279, 1, 0, 3732
2026/05/20 04:32:32.348, 0, 98, 7196
2026/05/20 04:32:32.355, 1, 0, 3732
2026/05/20 04:32:47.420, 0, 49, 7196
2026/05/20 04:32:47.426, 1, 0, 3732
2026/05/20 04:33:02.495, 0, 98, 7196
2026/05/20 04:33:02.499, 1, 0, 3732
2026/05/20 04:33:17.565, 0, 88, 7196
2026/05/20 04:33:17.570, 1, 0, 3732
2026/05/20 04:33:32.636, 0, 91, 7196
2026/05/20 04:33:32.640, 1, 0, 3732
2026/05/20 04:33:47.725, 0, 89, 7196
2026/05/20 04:33:47.731, 1, 0, 3732
2026/05/20 04:34:02.795, 0, 89, 7196
2026/05/20 04:34:02.800, 1, 0, 3732
2026/05/20 04:34:17.868, 0, 92, 7196
2026/05/20 04:34:17.871, 1, 0, 3732
2026/05/20 04:34:32.959, 0, 89, 7196
2026/05/20 04:34:32.964, 1, 0, 3732
2026/05/20 04:34:48.032, 0, 10, 7196
2026/05/20 04:34:48.038, 1, 0, 3732
2026/05/20 04:35:03.104, 0, 89, 7196
2026/05/20 04:35:03.111, 1, 0, 3732
2026/05/20 04:35:18.195, 0, 88, 7196
2026/05/20 04:35:18.200, 1, 0, 3732
2026/05/20 04:35:33.282, 0, 89, 7580
2026/05/20 04:35:33.286, 1, 0, 3732
2026/05/20 04:35:48.352, 0, 48, 8252
2026/05/20 04:35:48.357, 1, 0, 3732
2026/05/20 04:36:03.429, 0, 89, 8830
