model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]"
OPT-1.3B,L14,Attn/O/weight,4194304,0.00011920928955078125,0,0.0,0,0.0,-0.252685546875,0.25732421875,0.25732421875,0.00035762786865234375,0.004982948303222656,0.04897117614746094,0.4831552505493164,4.866933822631836,44.43650245666504,50.15554428100586,0.0034332275390625,0.0
OPT-1.3B,L14,Attn/Q/bias,2048,0.0,0,0.0,0,0.0,-0.248046875,0.25,0.25,0.0,0.0,0.0,0.390625,4.052734375,41.357421875,53.41796875,0.78125,0.0
OPT-1.3B,L14,Attn/Q/weight,4194304,9.5367431640625e-05,0,0.0,0,0.0,-0.2244873046875,0.2113037109375,0.2244873046875,0.00021457672119140625,0.0034093856811523438,0.03523826599121094,0.3201723098754883,3.243875503540039,31.187963485717773,65.1984453201294,0.010585784912109375,0.0
OPT-1.3B,L14,Attn/V/bias,2048,0.048828125,0,0.0,0,0.0,-0.0253753662109375,0.028472900390625,0.028472900390625,0.0,0.0,0.5859375,4.6875,42.7734375,51.318359375,0.5859375,0.0,0.0
OPT-1.3B,L14,Attn/V/weight,4194304,4.76837158203125e-05,0,0.0,0,0.0,-0.129638671875,0.129638671875,0.129638671875,0.00030994415283203125,0.0049114227294921875,0.046944618225097656,0.46901702880859375,4.684686660766602,42.237019538879395,52.556633949279785,0.0004291534423828125,0.0
OPT-1.3B,L14,FFN/Intermediate/bias,8192,0.0,0,0.0,0,0.0,-0.066650390625,0.1253662109375,0.1253662109375,0.0,0.0,0.0,0.30517578125,3.11279296875,38.90380859375,57.666015625,0.01220703125,0.0
OPT-1.3B,L14,FFN/Intermediate/weight,16777216,0.00011920928955078125,0,0.0,0,0.0,-0.197021484375,0.2091064453125,0.2091064453125,0.00032782554626464844,0.0038743019104003906,0.03930926322937012,0.3887057304382324,3.8877904415130615,36.50379180908203,59.16757583618164,0.008505582809448242,0.0
OPT-1.3B,L14,FFN/Output/bias,2048,0.0,0,0.0,0,0.0,-0.16552734375,0.11712646484375,0.16552734375,0.0,0.0,0.09765625,0.87890625,5.029296875,48.876953125,44.970703125,0.146484375,0.0
OPT-1.3B,L14,FFN/Output/weight,16777216,0.00015497207641601562,0,0.0,0,0.0,-0.250732421875,0.5,0.5,0.000286102294921875,0.003981590270996094,0.041556358337402344,0.41612982749938965,4.132282733917236,38.29072117805481,57.095056772232056,0.01983046531677246,0.0
OPT-1.3B,L14,LayerNorm/final/bias,2048,0.0,0,0.0,0,0.0,-0.1673583984375,0.153564453125,0.1673583984375,0.0,0.0,0.0,0.0,0.341796875,6.640625,75.146484375,17.87109375,0.0
OPT-1.3B,L14,LayerNorm/final/weight,2048,0.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
OPT-1.3B,L14,LayerNorm/self_attn/bias,2048,0.0,0,0.0,0,0.0,-0.21337890625,0.156494140625,0.21337890625,0.0,0.0,0.0,0.1953125,2.63671875,21.728515625,74.609375,0.830078125,0.0
