model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]"
GPT2,L0,FFN/Output/bias,768,0.0,2,0.2604166666666667,0,0.0,-1.0288007259368896,1.4793617725372314,1.4793617725372314,0.0,0.0,0.13020833333333331,0.0,0.6510416666666667,11.848958333333332,72.52604166666666,14.583333333333334,0.26041666666666663,0.0,0.0
GPT2,L0,FFN/Output/weight,2359296,0.0,465,0.019709269205729168,0,0.0,-6.143251895904541,6.064670085906982,6.143251895904541,0.00012715657552083332,0.000762939453125,0.009663899739583332,0.09867350260416667,0.9906344943576388,9.77596706814236,68.4608883327908,20.643573337131077,0.019709269205729164,0.0,0.0
GPT2,L0,LayerNorm/ln_1/bias,768,0.0,0,0.0,0,0.0,-0.258882999420166,0.20192869007587433,0.258882999420166,0.0,0.0,0.0,0.78125,4.947916666666666,51.302083333333336,39.58333333333333,3.3854166666666665,0.0,0.0,0.0
GPT2,L0,LayerNorm/ln_1/weight,768,0.0,0,0.0,0,0.0,0.04186137020587921,0.25266674160957336,0.25266674160957336,0.0,0.0,0.0,0.0,0.0,0.0,8.59375,91.40625,0.0,0.0,0.0
GPT2,L0,LayerNorm/ln_2/bias,768,0.0,0,0.0,0,0.0,-0.6647600531578064,0.7393816709518433,0.7393816709518433,0.0,0.0,0.0,0.26041666666666663,4.036458333333334,33.72395833333333,57.8125,4.166666666666666,0.0,0.0,0.0
GPT2,L0,LayerNorm/ln_2/weight,768,0.0,471,61.328125,0,0.0,0.045285746455192566,1.5110347270965576,1.5110347270965576,0.0,0.0,0.0,0.0,0.0,0.0,3.125,35.546875,61.328125,0.0,0.0
GPT2,L10,Attn/O/bias,768,0.0,3,0.390625,0,0.0,-2.9878828525543213,3.8490679264068604,3.8490679264068604,0.0,0.0,0.0,0.0,0.5208333333333333,5.859375,47.00520833333333,46.22395833333333,0.390625,0.0,0.0
GPT2,L10,Attn/O/weight,589824,0.0,285,0.048319498697916664,0,0.0,-4.075378894805908,4.212166786193848,4.212166786193848,0.0,0.0003390842013888889,0.006612141927083333,0.05035400390625,0.5408393012152778,5.476040310329862,48.27304416232639,45.60445149739583,0.04831949869791667,0.0,0.0
GPT2,L10,Attn/QKV/bias,2304,0.0,0,0.0,0,0.0,-0.9162278175354004,0.7710011005401611,0.9162278175354004,0.0,0.0,0.043402777777777776,0.08680555555555555,1.4322916666666665,12.239583333333332,54.036458333333336,32.16145833333333,0.0,0.0,0.0
GPT2,L10,Attn/QKV/weight,1769472,0.0,32,0.001808449074074074,0,0.0,-1.8937952518463135,1.795872449874878,1.8937952518463135,5.651403356481481e-05,0.0005651403356481482,0.005481861255787037,0.06080910011574075,0.6136293764467593,6.055083098234953,51.762898763020836,41.49966769748264,0.0018084490740740739,0.0,0.0
GPT2,L10,FFN/Intermediate/bias,3072,0.0,1,0.032552083333333336,0,0.0,-1.072832703590393,0.7247328758239746,1.072832703590393,0.0,0.0,0.0,0.06510416666666666,0.6510416666666667,5.110677083333334,53.938802083333336,40.20182291666667,0.03255208333333333,0.0,0.0
GPT2,L10,FFN/Intermediate/weight,2359296,0.0,19,0.0008053249782986111,0,0.0,-2.553544282913208,2.132819890975952,2.553544282913208,4.238552517361111e-05,0.0007205539279513889,0.005849202473958334,0.058619181315104164,0.5719502766927083,5.699496799045138,50.919596354166664,42.742919921875,0.0008053249782986111,0.0,0.0
GPT2,L10,FFN/Output/bias,768,0.0,3,0.390625,0,0.0,-1.076764702796936,1.3404064178466797,1.3404064178466797,0.0,0.0,0.0,0.0,0.13020833333333331,3.2552083333333335,38.02083333333333,58.203125,0.390625,0.0,0.0
GPT2,L10,FFN/Output/weight,2359296,0.0,532,0.022549099392361112,1,4.238552517361111e-05,-11.050446510314941,9.301321983337402,11.050446510314941,4.238552517361111e-05,0.0005510118272569444,0.004408094618055555,0.044335259331597224,0.433349609375,4.3914794921875,40.16477796766493,54.938507080078125,0.0225067138671875,4.238552517361111e-05,0.0
GPT2,L10,LayerNorm/ln_1/bias,768,0.0,1,0.13020833333333334,0,0.0,-0.6527619361877441,1.0895053148269653,1.0895053148269653,0.0,0.0,0.0,0.390625,2.213541666666667,22.265625,73.17708333333334,1.8229166666666667,0.13020833333333331,0.0,0.0
GPT2,L10,LayerNorm/ln_1/weight,768,0.0,0,0.0,0,0.0,0.0750628262758255,0.9213718175888062,0.9213718175888062,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,99.609375,0.0,0.0,0.0
GPT2,L10,LayerNorm/ln_2/bias,768,0.0,0,0.0,0,0.0,-0.6005101799964905,0.691361665725708,0.691361665725708,0.0,0.0,0.13020833333333331,0.0,1.6927083333333333,17.708333333333336,79.16666666666666,1.3020833333333335,0.0,0.0,0.0
GPT2,L10,LayerNorm/ln_2/weight,768,0.0,1,0.13020833333333334,0,0.0,0.020089950412511826,1.0950567722320557,1.0950567722320557,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,99.08854166666666,0.13020833333333331,0.0,0.0
GPT2,L11,Attn/O/bias,768,0.0,8,1.0416666666666667,0,0.0,-5.3728837966918945,3.6359262466430664,5.3728837966918945,0.0,0.0,0.0,0.0,0.6510416666666667,3.125,40.625,54.557291666666664,1.0416666666666665,0.0,0.0
