model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]"
GPT2-Medium,L15,Attn/O/weight,1048576,0.0,18,0.00171661376953125,0,0.0,-1.3431202173233032,1.6108417510986328,1.6108417510986328,0.0,0.000667572021484375,0.006580352783203125,0.07905960083007812,0.762176513671875,7.750225067138672,62.35675811767578,29.042816162109375,0.00171661376953125,0.0,0.0
GPT2-Medium,L15,Attn/QKV/bias,3072,0.0,0,0.0,0,0.0,-0.6035998463630676,0.7034227252006531,0.7034227252006531,0.0,0.0,0.06510416666666666,0.26041666666666663,2.34375,18.684895833333336,62.760416666666664,15.885416666666666,0.0,0.0,0.0
GPT2-Medium,L15,Attn/QKV/weight,3145728,0.0,30,0.00095367431640625,0,0.0,-1.7763992547988892,1.8005363941192627,1.8005363941192627,6.357828776041666e-05,0.0008265177408854166,0.00762939453125,0.07101694742838541,0.7051785786946614,7.027784983317058,58.88872146606445,33.29782485961914,0.00095367431640625,0.0,0.0
GPT2-Medium,L15,FFN/Intermediate/bias,4096,0.0,0,0.0,0,0.0,-0.3157929480075836,0.34126290678977966,0.34126290678977966,0.0,0.0,0.0,0.0244140625,0.5615234375,5.5908203125,68.9208984375,24.90234375,0.0,0.0,0.0
GPT2-Medium,L15,FFN/Intermediate/weight,4194304,0.0,3,7.152557373046875e-05,0,0.0,-3.4201061725616455,1.6171810626983643,3.4201061725616455,9.5367431640625e-05,0.000762939453125,0.007176399230957031,0.06895065307617188,0.7012605667114258,6.943774223327637,58.962321281433105,33.31558704376221,7.152557373046875e-05,0.0,0.0
GPT2-Medium,L15,FFN/Output/bias,1024,0.0,1,0.09765625,0,0.0,-0.8928263187408447,1.0371112823486328,1.0371112823486328,0.0,0.0,0.0,0.0,0.48828125,5.46875,50.390625,43.5546875,0.09765625,0.0,0.0
GPT2-Medium,L15,FFN/Output/weight,4194304,0.0,72,0.00171661376953125,0,0.0,-3.6923065185546875,4.746206283569336,4.746206283569336,2.384185791015625e-05,0.0007152557373046875,0.007319450378417969,0.06661415100097656,0.6874322891235352,6.838679313659668,57.592010498046875,34.80548858642578,0.00171661376953125,0.0,0.0
GPT2-Medium,L15,LayerNorm/ln_1/bias,1024,0.0,1,0.09765625,0,0.0,-1.198850154876709,0.9649067521095276,1.198850154876709,0.0,0.0,0.0,0.29296875,3.3203125,30.95703125,64.0625,1.26953125,0.09765625,0.0,0.0
GPT2-Medium,L15,LayerNorm/ln_1/weight,1024,0.0,0,0.0,0,0.0,0.088978111743927,0.6034696698188782,0.6034696698188782,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,99.8046875,0.0,0.0,0.0
GPT2-Medium,L15,LayerNorm/ln_2/bias,1024,0.0,0,0.0,0,0.0,-0.6534228920936584,0.5206294655799866,0.6534228920936584,0.0,0.09765625,0.0,0.48828125,2.83203125,27.24609375,68.26171875,1.07421875,0.0,0.0,0.0
GPT2-Medium,L15,LayerNorm/ln_2/weight,1024,0.0,1,0.09765625,0,0.0,0.02994132786989212,1.07541823387146,1.07541823387146,0.0,0.0,0.0,0.0,0.0,0.0,0.390625,99.51171875,0.09765625,0.0,0.0
GPT2-Medium,L16,Attn/O/bias,1024,0.0,0,0.0,0,0.0,-0.6113486886024475,0.7635671496391296,0.7635671496391296,0.0,0.0,0.0,0.0,0.5859375,6.15234375,47.8515625,45.41015625,0.0,0.0,0.0
GPT2-Medium,L16,Attn/O/weight,1048576,0.0,25,0.002384185791015625,0,0.0,-1.2922673225402832,1.5034432411193848,1.5034432411193848,9.5367431640625e-05,0.000667572021484375,0.0091552734375,0.07314682006835938,0.7360458374023438,7.462501525878906,61.142635345458984,30.573368072509766,0.002384185791015625,0.0,0.0
GPT2-Medium,L16,Attn/QKV/bias,3072,0.0,0,0.0,0,0.0,-0.9355090856552124,0.9401234984397888,0.9401234984397888,0.0,0.0,0.0,0.1953125,2.018229166666667,19.7265625,63.704427083333336,14.35546875,0.0,0.0,0.0
GPT2-Medium,L16,Attn/QKV/weight,3145728,0.0,9,0.000286102294921875,0,0.0,-1.2125962972640991,1.3880231380462646,1.3880231380462646,3.178914388020833e-05,0.000667572021484375,0.007979075113932293,0.06895065307617188,0.7030487060546875,6.9889068603515625,58.1946055094401,34.03552373250325,0.000286102294921875,0.0,0.0
GPT2-Medium,L16,FFN/Intermediate/bias,4096,0.0,1,0.0244140625,0,0.0,-0.3460828959941864,1.183904767036438,1.183904767036438,0.0,0.0,0.0,0.0,0.390625,5.4443359375,71.533203125,22.607421875,0.0244140625,0.0,0.0
GPT2-Medium,L16,FFN/Intermediate/weight,4194304,0.0,4,9.5367431640625e-05,0,0.0,-3.020850419998169,1.3955161571502686,3.020850419998169,0.00011920928955078125,0.000667572021484375,0.006961822509765625,0.06911754608154297,0.6997346878051758,6.927013397216797,58.83967876434326,33.45661163330078,9.5367431640625e-05,0.0,0.0
GPT2-Medium,L16,FFN/Output/bias,1024,0.0,1,0.09765625,0,0.0,-0.8170529007911682,1.0330564975738525,1.0330564975738525,0.0,0.0,0.0,0.09765625,1.07421875,9.765625,70.60546875,18.359375,0.09765625,0.0,0.0
