task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,2,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,19.500320,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,3,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,34.184708,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,4,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,14.218718,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,5,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,14.320395,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,6,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,11.015108,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,7,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,10.539145,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,8,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,11.934883,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,9,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,37.089062,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,10,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,38.671829,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_scores,QKᵀ/√dₖ + mask,11,2241593344,-310169450656826017806995432616100888576.000000,96644194881692681633788340816712826880.000000,-340282346638528859811704183484516925440.000000,21.491617,
