task,arch,model,probe,probe_display,layer,count,n_zero,pct_zero,n_gt1,pct_gt1,n_gt10,pct_gt10,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]","pct_(1e+01,1e+02]","pct_(1e+02,1e+03]","pct_(1e+03,1e+04]","pct_(1e+04,1e+05]"
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,3,1120796672,0,0.0000,210479788,18.7795,0,0.0000,0.0000,0.0001,0.0011,0.0113,0.1125,1.1255,11.1631,68.8068,18.7795,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,4,1120796672,0,0.0000,191603448,17.0953,0,0.0000,0.0000,0.0001,0.0011,0.0114,0.1142,1.1400,11.3306,70.3071,17.0953,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,5,1120796672,0,0.0000,157294019,14.0341,0,0.0000,0.0000,0.0001,0.0014,0.0142,0.1413,1.4121,13.9312,70.4656,14.0341,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,6,1120796672,0,0.0000,75060235,6.6970,0,0.0000,0.0000,0.0002,0.0021,0.0209,0.2084,2.0861,20.3890,70.5962,6.6970,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,7,1120796672,1,0.0000,40141373,3.5815,0,0.0000,0.0000,0.0003,0.0027,0.0264,0.2650,2.6491,25.3470,68.1280,3.5815,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,8,1120796672,0,0.0000,75576225,6.7431,0,0.0000,0.0000,0.0002,0.0019,0.0191,0.1915,1.9140,18.7871,72.3431,6.7431,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,9,1120796672,0,0.0000,160471459,14.3176,0,0.0000,0.0000,0.0002,0.0016,0.0156,0.1557,1.5559,15.3254,68.6280,14.3176,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,10,1120796672,0,0.0000,309026464,27.5720,0,0.0000,0.0000,0.0001,0.0009,0.0091,0.0913,0.9148,9.0920,62.3196,27.5720,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,11,1120796672,0,0.0000,300231383,26.7873,0,0.0000,0.0000,0.0001,0.0008,0.0083,0.0833,0.8323,8.3087,63.9791,26.7873,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,12,1120796672,0,0.0000,326314012,29.1145,0,0.0000,0.0000,0.0001,0.0008,0.0079,0.0792,0.7927,7.9115,62.0934,29.1145,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,13,1120796672,0,0.0000,373013209,33.2811,0,0.0000,0.0000,0.0001,0.0007,0.0071,0.0707,0.7087,7.0681,58.8635,33.2811,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,14,1120796672,1,0.0000,327191497,29.1928,0,0.0000,0.0000,0.0001,0.0008,0.0077,0.0776,0.7763,7.7300,62.2147,29.1928,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,15,1120796672,0,0.0000,268699709,23.9740,0,0.0000,0.0000,0.0001,0.0009,0.0088,0.0872,0.8717,8.6941,66.3632,23.9740,0.0000,0.0000,0.0000,0.0000
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,key_proj,XW_k + b_k,16,1120796672,0,0.0000,395693434,35.3047,0,0.0000,0.0000,0.0001,0.0007,0.0068,0.0684,0.6832,6.8333,57.1029,35.3047,0.0000,0.0000,0.0000,0.0000
