timestamp, index, name, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/08/16 20:01:43.737, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.52
2026/08/16 20:01:58.791, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.82
2026/08/16 20:02:13.824, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.69
2026/08/16 20:02:28.871, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.11
2026/08/16 20:02:43.903, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.56
2026/08/16 20:02:58.955, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.87
2026/08/16 20:03:13.987, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.12
2026/08/16 20:03:29.039, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.18
2026/08/16 20:03:44.071, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.98
2026/08/16 20:03:59.122, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.23
2026/08/16 20:04:14.154, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.78
2026/08/16 20:04:29.202, 0, NVIDIA GeForce RTX 4090, 100, 1592, 345.38
2026/08/16 20:04:44.232, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.26
2026/08/16 20:04:59.283, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.40
2026/08/16 20:05:14.316, 0, NVIDIA GeForce RTX 4090, 96, 1592, 345.53
2026/08/16 20:05:29.368, 0, NVIDIA GeForce RTX 4090, 100, 1592, 343.51
2026/08/16 20:05:44.402, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.68
2026/08/16 20:05:59.453, 0, NVIDIA GeForce RTX 4090, 95, 1592, 346.05
2026/08/16 20:06:14.483, 0, NVIDIA GeForce RTX 4090, 100, 1592, 346.17
2026/08/16 20:06:29.536, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.50
2026/08/16 20:06:44.569, 0, NVIDIA GeForce RTX 4090, 96, 1592, 343.17
2026/08/16 20:06:59.619, 0, NVIDIA GeForce RTX 4090, 96, 1592, 344.08
2026/08/16 20:07:14.652, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.76
2026/08/16 20:07:29.701, 0, NVIDIA GeForce RTX 4090, 100, 1592, 341.02
2026/08/16 20:07:44.734, 0, NVIDIA GeForce RTX 4090, 100, 1592, 344.23
