episode,total_reward,terminal_reward,terminal_priority,terminal_loss_mean,terminal_loss_std,terminal_metric1_mean,valid_steps,invalid_steps,total_bits,safe_neighbor_active,safe_neighbor_mutation_count,safe_neighbor_radius
41,37.7179394429973,40.69072164948454,3,0.33987816125154496,0.0029936484560540862,0.8703125,59,0,14779,False,0,0
42,37.7179394429973,40.69072164948454,3,0.34189664795994756,0.0014528773987777834,0.8703125,59,0,14779,False,0,0
43,37.821032226502446,40.793814432989684,3,0.33851039707660674,0.0016010674955713837,0.871875,59,0,14779,False,0,0
44,37.92412501000761,40.896907216494846,3,0.3387411624193192,0.0016922886597805116,0.8734375,59,0,14779,False,0,0
45,37.97567140176019,40.948453608247426,3,0.33874023929238317,0.001995000923788247,0.87421875,59,0,14779,False,0,0
46,37.66639305124472,40.63917525773196,3,0.34087856113910675,0.003041604143215025,0.86953125,59,0,14779,False,0,0
47,37.66639305124472,40.63917525773196,3,0.34120918735861777,0.0020711810783543617,0.86953125,59,0,14779,False,0,0
48,37.872578618255034,40.84536082474227,3,0.3386355735361576,0.004208920228161504,0.87265625,59,0,14779,False,0,0
49,37.821032226502446,40.793814432989684,3,0.34026196897029876,0.0020293127058990165,0.871875,59,0,14779,False,0,0
50,37.821032226502446,40.793814432989684,3,0.34171041697263715,0.0016276146570883493,0.871875,59,0,14779,False,0,0
51,37.66639305124472,40.63917525773196,3,0.3403241135179996,0.003667746153540146,0.86953125,59,0,14779,False,0,0
52,37.76948583474987,40.74226804123711,3,0.3414912521839142,0.003232403461966952,0.87109375,59,0,14779,False,0,0
53,37.92412501000761,40.896907216494846,3,0.342364440113306,0.0012878238573985313,0.8734375,59,0,14779,False,0,0
