task,arch,model,probe,probe_display,layer,count,mean,std,min,max
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),7,1830813696,0.039860,5.811690,-68.611534,3023.697021
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),8,1830813696,0.057178,6.155049,-63.235767,3061.595215
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),9,1830813696,0.064003,6.565612,-66.720428,3085.617676
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),10,1830813696,0.083254,7.341048,-92.543457,3098.703125
gpt2_wt2,gpt2,gpt2,ln1_input,LN₁ input (pre-norm),11,1830813696,0.185998,9.293440,-180.012558,3103.276123
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),0,1830813696,-0.005521,0.118684,-0.812691,0.864647
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),1,1830813696,-0.008365,0.191118,-3.325505,2.970967
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),2,1830813696,-0.009542,0.317834,-5.892214,6.945518
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),3,1830813696,-0.000388,0.383709,-8.697396,9.472204
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),4,1830813696,0.002377,0.347286,-7.704210,8.232185
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),5,1830813696,0.005871,0.401641,-8.856269,8.223866
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),6,1830813696,0.004647,0.373768,-8.413433,7.852859
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),7,1830813696,0.007119,0.378862,-7.887436,7.688896
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),8,1830813696,0.005098,0.351214,-8.060031,6.857342
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),9,1830813696,0.009391,0.345106,-6.859459,5.622367
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),10,1830813696,0.013017,0.332838,-6.326221,4.958674
gpt2_wt2,gpt2,gpt2,ln1_output,LN₁ output (pre-norm),11,1830813696,0.014660,0.331235,-4.904531,5.331262
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),0,1830813696,-0.001087,1.229678,-20.038021,20.021944
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),1,1830813696,-0.009344,2.009010,-82.268578,153.956573
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),2,1830813696,-0.003489,2.378218,-82.808128,639.480835
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),3,1830813696,0.008226,4.719046,-82.904160,2500.073242
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),4,1830813696,0.014444,5.067697,-82.196846,2699.455566
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),5,1830813696,0.022390,5.390871,-80.050514,2855.862061
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),6,1830813696,0.034306,5.664435,-74.776581,2962.180176
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),7,1830813696,0.053375,5.996958,-68.954407,3024.427734
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),8,1830813696,0.061571,6.373104,-64.737495,3063.583740
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),9,1830813696,0.074526,7.009410,-90.777054,3087.509277
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),10,1830813696,0.108263,8.278702,-143.805557,3100.066895
gpt2_wt2,gpt2,gpt2,ln2_input,LN₂ input (pre-norm),11,1830813696,-0.127479,15.230731,-258.185974,490.362549
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),0,1830813696,0.011864,0.146752,-3.044893,1.931967
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),1,1830813696,-0.003773,0.181538,-3.246251,6.644467
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),2,1830813696,0.007930,0.209915,-1.957050,19.931755
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),3,1830813696,0.012401,0.226659,-2.111169,9.493257
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),4,1830813696,0.000932,0.220100,-2.632036,9.061203
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),5,1830813696,0.008854,0.229621,-2.551426,11.279174
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),6,1830813696,0.004262,0.218032,-2.664313,10.446250
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),7,1830813696,0.008919,0.208997,-2.460505,10.064743
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),8,1830813696,-0.000169,0.208693,-2.374515,8.163793
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),9,1830813696,0.006126,0.211520,-2.349683,6.941179
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),10,1830813696,0.020136,0.211705,-2.431375,8.078885
gpt2_wt2,gpt2,gpt2,ln2_output,LN₂ output (pre-norm),11,1830813696,0.015611,0.203689,-3.159812,4.588830
