task,arch,model,probe,probe_display,layer,count,mean,std,min,max
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,3,244776960,0.005662,0.231149,-3.693362,3.867857
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,4,244776960,-0.004432,0.249029,-4.370171,4.421964
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,5,244776960,-0.002505,0.275206,-4.374795,4.455819
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,6,244776960,-0.000909,0.268380,-5.209344,4.537627
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,7,244776960,0.000877,0.258791,-3.735362,4.059302
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,8,244776960,-0.002583,0.296914,-4.044034,4.038539
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,9,244776960,0.001164,0.288596,-4.682478,5.332691
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,10,244776960,0.006901,0.223889,-6.816250,8.057211
rte,bert,textattack/bert-base-uncased-RTE,attn_context,Softmax × V,11,244776960,0.003315,0.229281,-6.266968,5.178898
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,0,244776960,0.000102,0.231442,-5.484322,5.413934
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,1,244776960,-0.000518,0.227091,-3.358032,4.397943
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,2,244776960,0.001349,0.219280,-2.944990,4.164826
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,3,244776960,0.000014,0.195612,-2.974349,2.851294
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,4,244776960,0.001161,0.246702,-3.637144,4.336277
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,5,244776960,-0.000912,0.272412,-3.412713,3.993443
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,6,244776960,-0.000192,0.256207,-3.310362,3.275005
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,7,244776960,0.000354,0.247760,-3.991581,2.726369
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,8,244776960,-0.001541,0.270533,-3.766800,6.744768
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,9,244776960,0.000087,0.274393,-3.808430,4.751476
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,10,244776960,0.000024,0.202062,-2.022319,3.476876
rte,bert,textattack/bert-base-uncased-RTE,attn_output,Attn × Wₒ,11,244776960,0.000361,0.233773,-3.112633,3.546747
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,0,244776960,-0.022930,1.180776,-66.651207,8.162625
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,1,244776960,-0.039333,1.302371,-69.585426,4.986179
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,2,244776960,-0.038446,1.383550,-55.678452,5.644773
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,3,244776960,-0.025844,1.267141,-95.072929,5.644936
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,4,244776960,-0.033362,1.241486,-102.685112,6.310658
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,5,244776960,-0.028659,1.114332,-93.050835,6.567958
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,6,244776960,-0.031117,1.074569,-91.747505,6.413903
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,7,244776960,-0.037755,1.044890,-89.988403,6.875777
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,8,244776960,-0.037367,1.047055,-86.857758,7.245543
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,9,244776960,-0.033067,0.907448,-58.031757,17.286892
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,10,244776960,-0.024389,0.946066,-60.749493,20.303078
rte,bert,textattack/bert-base-uncased-RTE,post_attn_ln,Post-Attn sub-block,11,244776960,-0.049464,1.200621,-40.735603,18.094679
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),0,979107840,-2.269523,1.554843,-18.622547,14.073981
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),1,979107840,-1.863165,1.293830,-21.524124,13.992554
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),2,979107840,-2.097439,1.236395,-25.426516,70.624420
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),3,979107840,-1.984434,1.274298,-60.625065,9.761654
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),4,979107840,-1.890025,1.239511,-61.292263,11.111603
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),5,979107840,-1.817381,1.204803,-49.391350,11.894097
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),6,979107840,-1.780457,1.133072,-25.768866,9.925336
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),7,979107840,-1.622872,1.064751,-18.310450,8.634548
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),8,979107840,-1.519567,1.033748,-23.789070,24.268753
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),9,979107840,-1.577934,1.145644,-48.036251,106.950119
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),10,979107840,-1.530148,1.051698,-37.257069,148.010971
rte,bert,textattack/bert-base-uncased-RTE,gelu_input,FFN1 (GELU in),11,979107840,-1.328960,0.865924,-20.363594,22.125380
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,0,979107840,0.005673,0.336103,-0.169971,14.073981
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,1,979107840,-0.021443,0.239803,-0.169971,13.992554
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,2,979107840,-0.030642,0.225786,-0.169971,70.624420
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,3,979107840,-0.031452,0.185313,-0.169971,9.761654
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,4,979107840,-0.032815,0.193280,-0.169971,11.111603
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,5,979107840,-0.038534,0.176762,-0.169971,11.894097
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,6,979107840,-0.042218,0.163184,-0.169971,9.925336
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,7,979107840,-0.047168,0.174918,-0.169971,8.634548
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,8,979107840,-0.050632,0.179550,-0.169971,24.268753
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,9,979107840,-0.055521,0.272663,-0.169971,106.950119
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,10,979107840,-0.060705,0.412442,-0.169971,148.010971
rte,bert,textattack/bert-base-uncased-RTE,gelu_output,GELU output,11,979107840,-0.070847,0.158226,-0.169971,22.125380
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,0,244776960,-0.036973,1.650017,-61.246899,22.847395
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,1,244776960,-0.009554,0.699421,-47.796921,5.652667
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,2,244776960,-0.006152,1.236015,-298.472076,5.389018
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,3,244776960,0.001282,0.590218,-113.200043,4.533295
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,4,244776960,-0.000360,0.520917,-89.031952,5.023035
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,5,244776960,-0.001841,0.456381,-71.896736,5.153082
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,6,244776960,0.000556,0.374149,-42.926437,4.049345
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,7,244776960,0.000973,0.363817,-21.644146,3.552951
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,8,244776960,-0.000510,0.474951,-154.088028,45.910248
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,9,244776960,-0.020426,3.913151,-871.155762,597.870117
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,10,244776960,-0.041554,5.788343,-1121.086548,36.074776
rte,bert,textattack/bert-base-uncased-RTE,ffn2_output,FFN2 output,11,244776960,0.002542,0.325402,-45.696339,14.468151
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,0,244776960,-0.020342,0.580412,-10.066054,3.700578
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,1,244776960,-0.017351,0.653427,-11.376451,4.270441
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,2,244776960,-0.018837,0.642408,-14.867732,4.372247
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,3,244776960,-0.027511,0.702052,-13.631824,4.722991
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,4,244776960,-0.025711,0.733559,-14.715543,4.949230
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,5,244776960,-0.028235,0.763950,-15.660201,5.290606
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,6,244776960,-0.028881,0.770054,-16.024912,5.579251
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,7,244776960,-0.030988,0.783561,-20.552435,7.455801
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,8,244776960,-0.032395,0.808371,-25.097691,10.803211
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,9,244776960,-0.033853,0.824987,-26.026096,10.390710
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,10,244776960,-0.040490,0.881081,-30.142704,11.382218
rte,bert,textattack/bert-base-uncased-RTE,post_ffn_ln,Post-FFN sub-block,11,244776960,-0.010386,0.479844,-10.171335,5.613547
