task,arch,model,probe,probe_display,layer,count,mean,std,min,max
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,7,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,16.359022
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,8,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,18.068542
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,9,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,15.562363
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,10,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,15.211056
cola,bert,textattack/bert-base-uncased-CoLA,attn_scores,QKᵀ/√dₖ + mask,11,1681195008,-310169450656826017806995432616100888576.000000,96644194881692624965390546380970262528.000000,-340282346638528859811704183484516925440.000000,12.165876
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),0,1681195008,0.007813,0.059603,0.000000,0.999999
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),1,1681195008,0.007813,0.050460,0.000000,0.999980
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),2,1681195008,0.007813,0.057819,0.000000,1.000000
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),3,1681195008,0.007812,0.053620,0.000000,0.999944
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),4,1681195008,0.007813,0.055815,0.000000,0.999892
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),5,1681195008,0.007812,0.074228,0.000000,0.999954
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),6,1681195008,0.007813,0.066781,0.000000,0.999935
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),7,1681195008,0.007813,0.062324,0.000000,0.999953
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),8,1681195008,0.007813,0.049450,0.000000,0.999961
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),9,1681195008,0.007813,0.052031,0.000000,0.999928
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),10,1681195008,0.007813,0.047796,0.000000,0.999967
cola,bert,textattack/bert-base-uncased-CoLA,attn_probs,Softmax(scores),11,1681195008,0.007813,0.044884,0.000000,0.999135
