episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
188,36.65211931,-3.19229440,37.87793885,,,,,,
189,36.65722183,-3.19229440,37.87793885,,,,,,
190,36.64958621,-3.19229440,37.87793885,,,,,,
191,36.63611891,-3.19229440,37.87793885,,,,,,
192,36.64123412,-3.19229440,37.87793885,,,,,,
193,36.63538877,-3.19229440,37.87793885,,,,,,
194,36.62192147,-3.19229440,37.87793885,,,,,,
195,36.61353506,-3.19229440,37.87793885,,,,,,
196,36.60591311,-3.19229440,37.87793885,,,,,,
197,36.60079732,-3.19229440,37.87793885,,,,,,
198,36.60079732,-3.19229440,37.87793885,,,,,,
199,36.60079732,-3.19229440,37.87793885,,,,,,
200,36.59570234,-3.19229440,37.87793885,,,,,,
201,36.58809406,-3.19229440,37.87793885,,,,,,
202,36.58047211,-3.19229440,37.87793885,,,,,,
203,36.58884444,-3.19229440,37.87793885,,,,,,
204,36.59977023,-3.19229440,37.87793885,,,,,,
205,36.59977023,-3.19229440,37.87793885,,,,,,
206,36.59975755,-3.19229440,37.87793885,,,,,,
207,36.60483885,-3.19229440,37.87793885,,,,,,
208,36.59719152,-3.19229440,37.87793885,,,,,,
209,36.59721275,-3.19229440,37.87793885,,,,,,
210,36.58961162,-3.19229440,37.87793885,,,,,,
211,36.58962529,-3.19229440,37.87793885,,,,,,
212,36.60309259,-3.19229440,37.87793885,,,,,,
213,36.60309259,-3.19229440,37.87793885,,,,,,
214,36.60057317,-3.19229440,37.87793885,,,,,,
215,36.60312728,-3.19229440,37.87793885,,,,,,
216,36.60822940,-3.19229440,37.87793885,,,,,,
217,36.60824307,-3.19229440,37.87793885,,,,,,
218,36.59477577,-3.19229440,37.87793885,,,,,,
219,36.59732911,-3.19229440,37.87793885,,,,,,
220,36.59989379,-3.19229440,37.87793885,,,,,,
221,36.61082044,-3.19229440,37.87793885,,,,,,
222,36.60825857,-3.19229440,37.87793885,,,,,,
223,36.60825857,-3.19229440,37.87793885,,,,,,
224,36.60825857,-3.19229440,37.87793885,,,,,,
225,36.60574099,-3.19229440,37.87793885,,,,,,
226,36.60824715,-3.19229440,37.87793885,,,,,,
227,36.61589313,-3.19229440,37.87793885,,,,,,
228,36.61844745,-3.19229440,37.87793885,,,,,,
229,36.61082550,-3.19229440,37.87793885,,,,,,
230,36.61922282,-3.19229440,37.87793885,,,,,,
231,36.62432534,-3.19229440,37.87793885,,,,,,
232,36.63196852,-3.19229440,37.87793885,,,,,,
233,36.63706349,-3.19229440,37.87793885,,,,,,
234,37.30810008,37.06990072,37.87793885,,,,,,
235,37.31651011,37.06990072,37.87793885,,,,,,
236,37.31651011,37.06990072,37.87793885,,,,,,
237,37.30559615,37.06990072,37.87793885,,,,,,
238,37.30811598,37.06990072,37.87793885,,,,,,
239,37.31063580,37.06990072,37.87793885,,,,,,
240,37.31063580,37.06990072,37.87793885,,,,,,
241,37.29716850,37.06990072,37.87793885,,,,,,
242,37.28370120,37.06990072,37.87793885,,,,,,
243,37.27787707,37.06990072,37.87793885,,,,,,
244,37.28880373,37.06990072,37.87793885,,,,,,
245,37.29388601,37.06990072,37.87793885,,,,,,
246,37.29644789,37.06990072,37.87793885,,,,,,
247,37.30152919,37.06990072,37.87793885,,,,,,
248,37.29053714,37.06990072,37.87793885,,,,,,
249,37.28543461,37.06990072,37.87793885,,,,,,
250,37.29307779,37.06990072,37.87793885,,,,,,
251,37.29817178,37.06990072,37.87793885,,,,,,
252,37.29815154,37.06990072,37.87793885,,,,,,
253,37.29309146,37.06990072,37.87793885,,,,,,
254,37.29819813,37.06990072,37.87793885,,,,,,
255,37.30911763,37.06990072,37.87875913,,,,,,
256,37.30911763,37.06990072,37.87875913,,,,,,
257,37.31169179,37.06990072,37.87875913,,,,,,
258,37.32517277,37.06990072,37.87875913,,,,,,
259,37.33026675,37.06990072,37.87875913,,,,,,
260,37.33534806,37.06990072,37.87875913,,,,,,
261,37.33204237,37.06990072,37.87875913,,,,,,
262,37.33204237,37.06990072,37.87875913,,,,,,
263,37.31857507,37.06990072,37.87875913,,,,,,
264,37.31858960,37.06990072,37.87875913,,,,,,
265,37.31858960,37.06990072,37.87875913,,,,,,
266,37.32117442,37.06990072,37.87875913,,,,,,
267,37.32117442,37.06990072,37.87875913,,,,,,
268,37.33464173,37.06990072,37.87875913,,,,,,
269,37.32953920,37.06990072,37.87875913,,,,,,
270,37.32953920,37.06990072,37.87875913,,,,,,
271,37.33461952,37.06990072,37.87875913,,,,,,
272,37.32117956,37.06990072,37.87875913,,,,,,
273,37.32117956,37.06990072,37.87875913,,,,,,
274,37.32878784,37.06990072,37.87875913,,,,,,
275,37.31532053,37.06990072,37.87875913,,,,,,
276,37.31021841,37.06990072,37.87875913,,,,,,
