sample,timestamp,index,name,memory_used_mib,utilization_gpu_pct,power_draw_w
21,2026/07/13 22:17:03.012, 3, NVIDIA GeForce RTX 5090, 3065, 35, 208.73
21,2026/07/13 22:17:03.016, 4, NVIDIA GeForce RTX 5090, 3065, 24, 216.34
22,2026/07/13 22:17:04.156, 0, NVIDIA GeForce RTX 5090, 3245, 39, 213.14
22,2026/07/13 22:17:04.162, 1, NVIDIA GeForce RTX 5090, 3065, 40, 207.94
22,2026/07/13 22:17:04.167, 2, NVIDIA GeForce RTX 5090, 3065, 40, 240.83
22,2026/07/13 22:17:04.171, 3, NVIDIA GeForce RTX 5090, 3065, 40, 206.89
22,2026/07/13 22:17:04.174, 4, NVIDIA GeForce RTX 5090, 3065, 34, 212.17
23,2026/07/13 22:17:05.303, 0, NVIDIA GeForce RTX 5090, 3245, 36, 237.61
23,2026/07/13 22:17:05.308, 1, NVIDIA GeForce RTX 5090, 3065, 37, 231.13
23,2026/07/13 22:17:05.311, 2, NVIDIA GeForce RTX 5090, 3065, 33, 234.06
23,2026/07/13 22:17:05.314, 3, NVIDIA GeForce RTX 5090, 3065, 38, 231.03
23,2026/07/13 22:17:05.317, 4, NVIDIA GeForce RTX 5090, 3065, 34, 242.51
24,2026/07/13 22:17:06.457, 0, NVIDIA GeForce RTX 5090, 3245, 4, 211.49
24,2026/07/13 22:17:06.463, 1, NVIDIA GeForce RTX 5090, 3065, 21, 203.63
24,2026/07/13 22:17:06.467, 2, NVIDIA GeForce RTX 5090, 3065, 35, 201.62
24,2026/07/13 22:17:06.470, 3, NVIDIA GeForce RTX 5090, 3065, 10, 206.92
24,2026/07/13 22:17:06.474, 4, NVIDIA GeForce RTX 5090, 3065, 40, 216.10
25,2026/07/13 22:17:07.611, 0, NVIDIA GeForce RTX 5090, 3245, 35, 214.13
25,2026/07/13 22:17:07.616, 1, NVIDIA GeForce RTX 5090, 3065, 41, 199.94
25,2026/07/13 22:17:07.624, 2, NVIDIA GeForce RTX 5090, 3065, 41, 211.26
25,2026/07/13 22:17:07.628, 3, NVIDIA GeForce RTX 5090, 3065, 39, 209.48
25,2026/07/13 22:17:07.632, 4, NVIDIA GeForce RTX 5090, 3065, 25, 213.62
26,2026/07/13 22:17:08.747, 0, NVIDIA GeForce RTX 5090, 3245, 30, 238.50
26,2026/07/13 22:17:08.754, 1, NVIDIA GeForce RTX 5090, 3065, 0, 219.56
26,2026/07/13 22:17:08.760, 2, NVIDIA GeForce RTX 5090, 3065, 0, 209.43
26,2026/07/13 22:17:08.764, 3, NVIDIA GeForce RTX 5090, 3065, 10, 226.78
26,2026/07/13 22:17:08.768, 4, NVIDIA GeForce RTX 5090, 3065, 32, 218.15
27,2026/07/13 22:17:09.881, 0, NVIDIA GeForce RTX 5090, 3245, 41, 210.09
27,2026/07/13 22:17:09.889, 1, NVIDIA GeForce RTX 5090, 3065, 35, 203.87
27,2026/07/13 22:17:09.894, 2, NVIDIA GeForce RTX 5090, 3065, 41, 221.61
27,2026/07/13 22:17:09.898, 3, NVIDIA GeForce RTX 5090, 3065, 38, 206.12
27,2026/07/13 22:17:09.901, 4, NVIDIA GeForce RTX 5090, 3065, 40, 227.37
28,2026/07/13 22:17:11.015, 0, NVIDIA GeForce RTX 5090, 3245, 36, 213.18
28,2026/07/13 22:17:11.021, 1, NVIDIA GeForce RTX 5090, 3065, 37, 204.19
28,2026/07/13 22:17:11.025, 2, NVIDIA GeForce RTX 5090, 3065, 39, 201.58
28,2026/07/13 22:17:11.029, 3, NVIDIA GeForce RTX 5090, 3065, 36, 206.78
28,2026/07/13 22:17:11.032, 4, NVIDIA GeForce RTX 5090, 3065, 0, 219.82
29,2026/07/13 22:17:12.168, 0, NVIDIA GeForce RTX 5090, 3245, 41, 213.70
29,2026/07/13 22:17:12.173, 1, NVIDIA GeForce RTX 5090, 3065, 34, 204.39
29,2026/07/13 22:17:12.177, 2, NVIDIA GeForce RTX 5090, 3065, 31, 235.53
