root	relative_path	storage	archive_path	raw_bytes	raw_sha256	archive_bytes	archive_sha256	raw_lines
launch_evidence	MIGRATION_RECEIPT.json	copy	small_files/launch_evidence/MIGRATION_RECEIPT.json	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	50
launch_evidence	RUN_IDENTITY.json	copy	small_files/launch_evidence/RUN_IDENTITY.json	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	26
launch_evidence	base_rte_stage2_05pct_launch_receipt_20260806.txt	copy	small_files/launch_evidence/base_rte_stage2_05pct_launch_receipt_20260806.txt	7042	06b03a982b94723e798ea843e75c44e2ea6bee9b3f4692862a5aba11a0b26c94	7042	06b03a982b94723e798ea843e75c44e2ea6bee9b3f4692862a5aba11a0b26c94	68
launch_evidence	base_rte_stage2_05pct_resume_5gpu_launch_receipt_20260806.txt	copy	small_files/launch_evidence/base_rte_stage2_05pct_resume_5gpu_launch_receipt_20260806.txt	7612	04abf91744273930788c1d225c6bad396f935dbeb11cee005a82183958f2169e	7612	04abf91744273930788c1d225c6bad396f935dbeb11cee005a82183958f2169e	72
persistent_run	MIGRATION_RECEIPT.json	copy	small_files/persistent_run/MIGRATION_RECEIPT.json	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	2158	7b98d81bd137bc4e7d672efd7a007c4143fa2d0209ef0173a8e3264b3723e9c3	50
persistent_run	RUN_IDENTITY.json	copy	small_files/persistent_run/RUN_IDENTITY.json	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	1539	72b4ecfb743481a7150086683beab97a782f0b038a0384944721f4e47641b36b	26
persistent_run	best_policy/constraint_metadata.json	copy	small_files/persistent_run/best_policy/constraint_metadata.json	260	f32a7c59b4c08db691d929d639075355cb12eea1e3f58290bf5959d0945087f7	260	f32a7c59b4c08db691d929d639075355cb12eea1e3f58290bf5959d0945087f7	9
persistent_run	logs/glue_dataset_local_route.txt	copy	small_files/persistent_run/logs/glue_dataset_local_route.txt	304	5b922eee9a99a06160854997dbeb619d396aa5d02ac2c2b8231da91de369a107	304	5b922eee9a99a06160854997dbeb619d396aa5d02ac2c2b8231da91de369a107	9
persistent_run	logs/stage2_base_rte_05pct_50k_20260806.log	copy	small_files/persistent_run/logs/stage2_base_rte_05pct_50k_20260806.log	16064	2056cec49d68808aee1f3ee3cbb3961fbe918a04e2ddf36115540bbb80defc49	16064	2056cec49d68808aee1f3ee3cbb3961fbe918a04e2ddf36115540bbb80defc49	236
persistent_run	logs/stage2_base_rte_05pct_50k_resume_5gpu_20260806.log	copy	small_files/persistent_run/logs/stage2_base_rte_05pct_50k_resume_5gpu_20260806.log	28975	2afd477d599c755616f911763688af512ce69b515258ba39010abd9dd835f6a9	28975	2afd477d599c755616f911763688af512ce69b515258ba39010abd9dd835f6a9	361
persistent_run	metadata.json	copy	small_files/persistent_run/metadata.json	828	fcb64fad90b03694e0ad7765934aeb2497094a5465fe57b37da5481d6ba646ac	828	fcb64fad90b03694e0ad7765934aeb2497094a5465fe57b37da5481d6ba646ac	28
persistent_run	rl.pid	copy	small_files/persistent_run/rl.pid	6	d7f9857643a8e230e334992e8c241be1826ca706c71e2df40948e4e0cd405fd8	6	d7f9857643a8e230e334992e8c241be1826ca706c71e2df40948e4e0cd405fd8	
persistent_run	run.pid	copy	small_files/persistent_run/run.pid	6	d7f9857643a8e230e334992e8c241be1826ca706c71e2df40948e4e0cd405fd8	6	d7f9857643a8e230e334992e8c241be1826ca706c71e2df40948e4e0cd405fd8	
